,Депутат,Коммитет,Должность,Фракция
0,Авдеев Александр Александрович,Комитет по контролю и Регламенту,член комитета,«ЕДИНАЯ РОССИЯ»
1,Агаев Ваха Абуевич,Комитет по финансовому рынку,заместитель председателя комитета,КПРФ
2,Адучиев Батор Канурович,Комитет по аграрным вопросам,член комитета,«ЕДИНАЯ РОССИЯ»
3,Азимов Рахим Азизбоевич,Комитет по безопасности и противодействию коррупции,член комитета,«ЕДИНАЯ РОССИЯ»
4,Аксаков Анатолий Геннадьевич,Комитет по финансовому рынку,Председатель комитета,СПРАВЕДЛИВАЯ РОССИЯ
5,Алексеева Татьяна Олеговна,Комитет по международным делам,член комитета,«ЕДИНАЯ РОССИЯ»
6,Алимова Ольга Николаевна,Комитет по транспорту и строительству,член комитета,КПРФ
7,Альшевских Андрей Геннадьевич,Комитет по контролю и Регламенту,член комитета,«ЕДИНАЯ РОССИЯ»
8,Ананских Игорь Александрович,Комитет по энергетике,Первый заместитель председателя комитета,СПРАВЕДЛИВАЯ РОССИЯ
9,Андрейченко Андрей Валерьевич,Комитет по природным ресурсам собственности и земельным отношениям,член комитета,ЛДПР
10,Аникеев Григорий Викторович,Комитет по развитию гражданского общества вопросам общественных и религиозных объединений,член комитета,«ЕДИНАЯ РОССИЯ»
