,ККал на 100,Б на 100,Ж на 100,У на 100
Сухофрукты,548,12.8,40.8,32.4
Каша Быстров,334,8.6,4.8,64
"Балык ""Королевский""",170,25,8,
"Колбаса с/к ""Еврейская полусухая""",481,19,45,
Суп гороховый с копченостями,390,16,11,52
Суп томатный с рисом,205.5,4.7,1.3,42.2
Говядина Кронидов,213,15,17,
Свинина Кронидов,349,13,33,
Рис пропаренный Увелка,350,8,1,78
Крупа гречневая,360,13,2,72
Капеллини Макфа,344,12.5,1.3,70.5
Сухарики ржаные Finn Crisp,347,10,2.6,61
Козинак арахисовый,520,15,26,55
Козинак подсолнечный,530,14,37,36
Шоколад молочный какао,601,7,43,46
Шоколад молочный миндаль,574,7.7,38.2,49.5
Шоколад ремесленный,540,10.8,37.8,37.1
Сыр Маасдам,370,25,30,
Сыр Гауда,338,26,26,
Сыр Чеддер,369,23.5,30.5,
Сухарики ржаные с семечками,451,17.3,16,59.5
"Хлебцы льняные ""Тайские""",507,19,39,20
Хлебцы льняные Морские,436.5,14.1,29,1.5
Паутина,12,,,
Хлебцы с чесноком и луком,212,7.9,1.3,43.3
Говядина сублимрованная,474,73,20,
Свинина сублимрованная,543,58,35,
Борщ Московский Галагала,360,15,10,52
Суп-гуляш галагала,382,15,10,55
Суп куриный с картофелем галагала,390,15,12,56.4
Суп говяжий с картофелем галагала,390,12.2,12,56.4
Суп гороховый с копченостями галагала,390,16,11,52
"Суп-харчо ""Острый""",370,13.5,10,55.6
Картофель сушеный,333,6,74,
Омлет с грибами галагала,526,43,30,4.7
Омлет с копченостями галагала,544,45,30,4.7
Кус Кус,336,12.7,0.6,77.4
